Release.date,Signal,Sensor.unit,Length.mm,Weight.g,Group,Transmitter,ID,Island,Release.site,Latitude,Longitude,Code.space
2023-10-10 13:20:00,763,,33.3,125,Wild,A69-1605-763,1608,Sharqi,E21,25.66485,36.75782,A69-1605
2023-10-11 10:19:00,64,,42,140,Wild,A69-1605-64,1610,Quman,E23,25.56002,36.8328,A69-1605
2023-10-13 09:57:00,734,,44.9,365,Wild,A69-1605-734,1623,Quman,E26,25.57048,36.84659,A69-1605
2023-10-11 11:30:00,732,,45.7,325,Wild,A69-1605-732,1634,Quman,E23,25.55887,36.83265,A69-1605
2023-10-12 11:30:00,753,,31.5,145,Wild,A69-1605-753,1635,Sharqi,E25,25.66656,36.76115,A69-1605
2023-10-12 10:00:00,762,,31.3,125,Wild,A69-1605-762,1639,Sharqi,E25,25.66656,36.76115,A69-1605
2023-10-10 10:17:00,752,,30,135,Wild,A69-1605-752,1642,Sharqi,E20,25.66328,36.75603,A69-1605
2023-10-11 12:44:00,755,,32.1,130,Wild,A69-1605-755,1645,Quman,E23,25.55887,36.83265,A69-1605
2023-10-13 11:40:00,741,,46,380,Wild,A69-1605-741,1647,Quman,E27,25.57094,36.84531,A69-1605
2023-10-11 10:41:00,744,,33.2,120,Wild,A69-1605-744,1649,Quman,E23,25.56002,36.8328,A69-1605
2023-10-13 10:40:00,729,,43.1,315,Wild,A69-1605-729,1651,Quman,E26,25.57048,36.84659,A69-1605
2023-10-10 09:34:00,735,,60,750,Wild,A69-1605-735,1658,Sharqi,E21,25.66883,36.75964,A69-1605
2023-10-11 13:50:00,737,,54,710,Wild,A69-1605-737,1660,Quman,E23,25.55887,36.83265,A69-1605
2023-10-13 11:18:00,743,,51.6,510,Wild,A69-1605-743,1661,Quman,E26,25.57048,36.84659,A69-1605
2023-10-12 09:46:00,742,,50.9,490,Wild,A69-1605-742,1664,Sharqi,E24,25.66297,36.76472,A69-1605
2023-10-10 08:27:00,740,,45.4,319,Wild,A69-1605-740,1666,Sharqi,E20,25.65912,36.75592,A69-1605
2023-10-11 12:10:00,760,,32.9,135,Wild,A69-1605-760,1667,Quman,E23,25.55815,36.83225,A69-1605
2023-10-11 12:10:00,65,,59.8,710,Wild,A69-1605-65,1672,Quman,E23,25.55887,36.83265,A69-1605
2023-10-07 11:09:00,68,,45.7,375,Wild,A69-1605-68,3609,Sharqi,E13,25.66589,36.75863,A69-1605
2023-10-12 11:58:00,747,,30.2,130,Wild,A69-1605-747,3612,Sharqi,E24,25.66276,36.76431,A69-1605
2023-10-07 08:30:00,756,,44.7,395,Wild,A69-1605-756,3614,Sharqi,E13,25.66635,36.75909,A69-1605
2023-10-12 11:30:00,758,,33,125,Wild,A69-1605-758,3618,Sharqi,E25,25.66656,36.76115,A69-1605
2023-10-13 10:08:00,751,,31.7,160,Wild,A69-1605-751,3645,Turtle Bay,E28,25.49941,36.99894,A69-1605
2023-10-13 08:34:00,739,,43.3,310,Wild,A69-1605-739,3647,Quman,E26,25.57027,36.84663,A69-1605
2023-10-11 10:12:00,754,,32.4,130,Wild,A69-1605-754,3662,Quman,E22,25.5616,36.83361,A69-1605
2023-10-12 09:39:00,759,,32.2,145,Wild,A69-1605-759,3671,Sharqi,E25,25.66656,36.76115,A69-1605
2023-10-11 09:51:00,72,,57.8,765,Wild,A69-1605-72,3679,Quman,E22,25.56443,36.83618,A69-1605
2023-10-11 08:19:00,745,,32.8,145,Wild,A69-1605-745,3685,Quman,E22,25.5616,36.83361,A69-1605
2023-10-13 09:25:00,738,,54.4,575,Wild,A69-1605-738,3689,Quman,E26,25.57048,36.84659,A69-1605
2023-10-05 12:09:00,757,,43.6,310,Wild,A69-1605-757,3691,Quman,E12,25.55801,36.83216,A69-1605
2023-10-12 09:43:00,749,,34.1,145,Wild,A69-1605-749,3694,Sharqi,E25,25.66656,36.76115,A69-1605
2023-10-05 12:15:00,746,,34.5,150,Wild,A69-1605-746,3701,Quman,E23,25.56002,36.8328,A69-1605
2023-10-05 12:22:00,750,,45,360,Wild,A69-1605-750,3706,Quman,E12,25.55856,36.8324,A69-1605
2023-10-11 09:23:00,748,,34.1,145,Wild,A69-1605-748,3714,Quman,E22,25.5616,36.83361,A69-1605
2023-10-13 10:41:00,736,,43.3,345,Wild,A69-1605-736,3720,Quman,E27,25.57091,36.84533,A69-1605
2023-10-11 07:40:00,74,,60.3,750,Wild,A69-1605-74,7674,Quman,E22,25.56545,36.83597,A69-1605
2022-11-23 08:59:00,71,,48.2,,Wild,A69-1605-71,GH08,Quman,E8,25.56285,36.83473,A69-1605
2022-11-17 12:40:00,53,,46,500,Wild,A69-1605-53,GH16,Quman,E4,25.5629,36.83464,A69-1605
2022-11-22 08:23:00,70,,59.2,700,Wild,A69-1605-70,GH20,Quman,E7,25.56292,36.83483,A69-1605
2022-11-17 11:49:00,60,,67.1,1032,Wild,A69-1605-60,GH21,Quman,E4,25.56409,36.83605,A69-1605
2022-11-17 09:50:00,57,,42.5,340,Wild,A69-1605-57,GH22,Quman,E3,25.57069,36.84571,A69-1605
2022-11-17 11:18:00,55,,46.3,,Wild,A69-1605-55,GH26,Quman,E4,25.56434,36.83623,A69-1605
2022-11-17 11:34:00,54,,58.2,,Wild,A69-1605-54,GH27,Quman,E4,25.56407,36.83606,A69-1605
2022-11-17 12:10:00,66,,61,780,Wild,A69-1605-66,GH30,Quman,E4,25.56368,36.8357,A69-1605
2022-11-17 12:15:00,63,,68.5,,Wild,A69-1605-63,GH31,Quman,E4,25.56362,36.83564,A69-1605
2022-11-17 12:56:00,59,,46.1,300,Wild,A69-1605-59,GH34,Quman,E4,25.56433,36.83623,A69-1605
2022-11-17 12:50:00,58,,53.9,540,Wild,A69-1605-58,GH35,Quman,E4,25.56433,36.83623,A69-1605
2022-11-19 12:58:00,62,,52.5,700,Wild,A69-1605-62,GH51,Quman,E5,25.55808,36.83235,A69-1605
2022-11-22 09:00:00,75,,69,,Wild,A69-1605-75,GH54,Quman,E7,25.56223,36.83396,A69-1605
2022-11-22 09:24:00,51,,45.8,,Wild,A69-1605-51,GH55,Quman,E7,25.56209,36.83388,A69-1605
2022-11-22 09:33:00,52,,47.2,,Wild,A69-1605-52,GH56,Quman,E7,25.56209,36.83388,A69-1605
2022-11-22 10:00:00,56,,45.6,,Wild,A69-1605-56,GH59,Quman,E7,25.56182,36.8337,A69-1605
2022-11-23 09:21:00,67,,45.8,,Wild,A69-1605-67,GH70,Quman,E8,25.56285,36.83473,A69-1605
