Station.name,Start,Stop,Receiver
AK1,2023-10-12T12:36:00Z,2024-10-28T05:07:00Z,490798
AL1,2023-10-13T13:53:00Z,2024-10-28T07:41:00Z,490789
AL2,2023-10-13T14:09:00Z,2024-10-28T08:09:00Z,490799
AOG,2023-10-12T12:53:00Z,2024-10-28T04:30:00Z,490788
AOS1,2023-10-10T10:09:00Z,2024-10-26T00:00:00Z,490793
AOS2,2023-10-10T10:29:00Z,2024-08-07T16:37:00Z,490792
AOS3,2023-10-10T10:57:00Z,2024-10-27T05:52:00Z,490795
AOS4,2023-10-10T11:11:00Z,2024-10-28T06:22:00Z,490794
AOS5,2023-10-10T11:30:00Z,2024-10-28T06:08:00Z,490796
AOS6,2023-10-12T11:42:00Z,2024-10-26T11:19:00Z,490791
AOS7,2023-10-12T12:17:00Z,2024-10-26T10:17:00Z,490800
AOS8,2023-10-12T12:02:00Z,2024-10-26T10:58:00Z,490801
Deep,2022-11-28T10:35:00Z,2023-04-26T00:00:00Z,488916
GH01,2022-11-28T08:45:00Z,2023-04-26T00:00:00Z,488912
GH02,2022-11-28T08:50:00Z,2023-04-26T00:00:00Z,488909
GH03,2022-11-28T09:00:00Z,2023-04-26T00:00:00Z,488911
GH04,2022-11-28T09:06:00Z,2023-04-26T00:00:00Z,488919
GH05,2022-11-28T09:17:00Z,2023-04-26T00:00:00Z,488918
GH07,2022-11-28T09:30:00Z,2023-04-26T00:00:00Z,488915
GH08,2022-11-28T09:35:00Z,2023-04-26T00:00:00Z,488913
GH09,2022-11-28T09:53:00Z,2023-04-26T00:00:00Z,488907
GH10,2022-11-28T09:55:00Z,2023-04-26T00:00:00Z,488917
GH11,2022-11-28T10:00:00Z,2023-04-26T00:00:00Z,488914
GH12,2022-11-28T10:05:00Z,2023-04-26T00:00:00Z,488908
GH13,2022-11-28T10:10:00Z,2023-04-26T00:00:00Z,488920
Qu1,2023-04-26T12:01:00Z,2024-09-30T00:00:00Z,488908
Qu10,2023-04-26T13:05:00Z,2024-09-27T00:00:00Z,488913
Qu11,2023-04-26T14:10:00Z,2024-10-03T00:00:00Z,488911
Qu12,2023-04-26T14:17:00Z,2024-10-02T00:00:00Z,488912
Qu13,2023-04-26T11:47:00Z,2024-10-31T00:00:00Z,488920
Qu14,2023-04-26T13:18:00Z,2024-10-03T00:00:00Z,488907
Qu15,2023-04-26T13:46:00Z,2024-10-03T00:00:00Z,488919
Qu2,2022-11-28T11:33:00Z,2024-10-03T00:00:00Z,488910
Qu3,2022-11-28T11:20:00Z,2024-10-03T00:00:00Z,488921
Qu4,2023-04-26T13:31:00Z,2024-09-30T00:00:00Z,488915
Qu5,2023-04-26T12:54:00Z,2024-09-27T00:00:00Z,488917
Qu6,2023-04-26T12:27:00Z,2024-09-27T00:00:00Z,488914
Qu7,2023-04-26T12:40:00Z,2024-09-27T00:00:00Z,488916
Qu8,2023-04-26T14:26:00Z,2024-10-02T00:00:00Z,488909
Qu9,2023-04-26T13:39:00Z,2024-10-03T00:00:00Z,488918
TB2,2023-10-14T09:19:00Z,2024-02-18T11:54:00Z,490797
